name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
JR Smith,Denver Nuggets,2010-10-27,2010,2444,1610612743,301027007,1,0,47,0,Jump Shot,3PT Field Goal,24,Utah Jazz,-196,146,,,,,
JR Smith,Denver Nuggets,2010-10-27,2010,2444,1610612743,301027007,2,7,16,0,Jump Shot,2PT Field Goal,17,Utah Jazz,177,12,,,,,
JR Smith,Denver Nuggets,2010-10-27,2010,2444,1610612743,301027007,2,4,50,0,Jump Shot,3PT Field Goal,26,Utah Jazz,77,258,,,,,
JR Smith,Denver Nuggets,2010-10-27,2010,2444,1610612743,301027007,3,2,48,1,Jump Shot,3PT Field Goal,26,Utah Jazz,233,131,,,,,
JR Smith,Denver Nuggets,2010-10-27,2010,2444,1610612743,301027007,4,11,7,0,Jump Shot,3PT Field Goal,25,Utah Jazz,212,142,,,,,
JR Smith,Denver Nuggets,2010-10-29,2010,2444,1610612743,301029003,2,5,30,0,Jump Shot,2PT Field Goal,19,New Orleans Pelicans,92,175,,,,,
JR Smith,Denver Nuggets,2010-10-29,2010,2444,1610612743,301029003,2,3,19,1,Jump Shot,2PT Field Goal,16,New Orleans Pelicans,-168,-1,,,,,
JR Smith,Denver Nuggets,2010-10-29,2010,2444,1610612743,301029003,4,8,24,1,Jump Shot,3PT Field Goal,25,New Orleans Pelicans,-128,225,,,,,
JR Smith,Denver Nuggets,2010-10-29,2010,2444,1610612743,301029003,4,6,32,0,Step Back Jump shot,2PT Field Goal,20,New Orleans Pelicans,133,156,,,,,
JR Smith,Denver Nuggets,2010-10-30,2010,2444,1610612743,301030010,1,4,30,1,Jump Shot,2PT Field Goal,15,Houston Rockets,-155,9,,,,,
JR Smith,Denver Nuggets,2010-10-30,2010,2444,1610612743,301030010,1,2,49,0,Jump Shot,2PT Field Goal,17,Houston Rockets,154,86,,,,,
JR Smith,Denver Nuggets,2010-10-30,2010,2444,1610612743,301030010,2,1,44,0,Jump Shot,3PT Field Goal,25,Houston Rockets,195,162,,,,,
JR Smith,Denver Nuggets,2010-10-30,2010,2444,1610612743,301030010,3,0,5,1,Jump Shot,3PT Field Goal,25,Houston Rockets,160,195,,,,,
JR Smith,Denver Nuggets,2010-10-30,2010,2444,1610612743,301030010,4,7,3,0,Jump Shot,3PT Field Goal,24,Houston Rockets,-238,66,,,,,
JR Smith,Denver Nuggets,2010-10-30,2010,2444,1610612743,301030010,4,6,6,0,Jump Shot,3PT Field Goal,26,Houston Rockets,-97,246,,,,,
JR Smith,Denver Nuggets,2010-11-03,2010,2444,1610612743,,3,4,3,0,Jump Shot,3PT Field Goal,25,Dallas Mavericks,195,168,,,,,
JR Smith,Denver Nuggets,2010-11-03,2010,2444,1610612743,,3,3,37,1,Jump Shot,3PT Field Goal,24,Dallas Mavericks,-166,175,,,,,
JR Smith,Denver Nuggets,2010-11-03,2010,2444,1610612743,,4,9,49,0,Jump Shot,3PT Field Goal,24,Dallas Mavericks,-95,227,,,,,
JR Smith,Denver Nuggets,2010-11-03,2010,2444,1610612743,,4,7,59,0,Jump Shot,3PT Field Goal,25,Dallas Mavericks,173,194,,,,,
JR Smith,Denver Nuggets,2010-11-05,2010,2444,1610612743,,2,11,2,0,Jump Shot,3PT Field Goal,25,Los Angeles Clippers,174,192,,,,,
JR Smith,Denver Nuggets,2010-11-05,2010,2444,1610612743,,3,2,1,1,Jump Shot,3PT Field Goal,24,Los Angeles Clippers,-138,203,,,,,
JR Smith,Denver Nuggets,2010-11-05,2010,2444,1610612743,,4,9,57,0,Jump Shot,2PT Field Goal,16,Los Angeles Clippers,-116,119,,,,,
JR Smith,Denver Nuggets,2010-11-05,2010,2444,1610612743,,4,5,24,0,Jump Shot,3PT Field Goal,25,Los Angeles Clippers,-191,170,,,,,
JR Smith,Denver Nuggets,2010-11-06,2010,2444,1610612743,301106006,2,10,12,1,Jump Shot,3PT Field Goal,25,Dallas Mavericks,201,157,,,,,
JR Smith,Denver Nuggets,2010-11-06,2010,2444,1610612743,301106006,2,7,55,1,Jump Shot,2PT Field Goal,19,Dallas Mavericks,166,93,,,,,
JR Smith,Denver Nuggets,2010-11-08,2010,2444,1610612743,301108004,2,10,25,0,Jump Shot,3PT Field Goal,23,Chicago Bulls,237,11,,,,,
JR Smith,Denver Nuggets,2010-11-08,2010,2444,1610612743,301108004,2,9,24,1,Jump Shot,3PT Field Goal,24,Chicago Bulls,189,157,,,,,
JR Smith,Denver Nuggets,2010-11-08,2010,2444,1610612743,301108004,2,6,22,0,Jump Shot,2PT Field Goal,18,Chicago Bulls,-48,179,,,,,
JR Smith,Denver Nuggets,2010-11-08,2010,2444,1610612743,301108004,4,11,46,1,Jump Shot,3PT Field Goal,25,Chicago Bulls,-234,88,,,,,
JR Smith,Denver Nuggets,2010-11-08,2010,2444,1610612743,301108004,4,8,52,0,Jump Shot,2PT Field Goal,21,Chicago Bulls,-187,107,,,,,
JR Smith,Denver Nuggets,2010-11-09,2010,2444,1610612743,301109011,3,3,13,0,Jump Shot,2PT Field Goal,18,Indiana Pacers,-130,127,,,,,
JR Smith,Denver Nuggets,2010-11-09,2010,2444,1610612743,301109011,3,1,1,0,Jump Shot,2PT Field Goal,16,Indiana Pacers,166,7,,,,,
JR Smith,Denver Nuggets,2010-11-09,2010,2444,1610612743,301109011,3,0,38,0,Jump Shot,3PT Field Goal,27,Indiana Pacers,220,160,,,,,
JR Smith,Denver Nuggets,2010-11-09,2010,2444,1610612743,301109011,3,0,0,0,Jump Shot,3PT Field Goal,50,Indiana Pacers,168,476,,,,,
JR Smith,Denver Nuggets,2010-11-09,2010,2444,1610612743,301109011,4,10,46,1,Pullup Jump shot,2PT Field Goal,19,Indiana Pacers,-149,124,,,,,
JR Smith,Denver Nuggets,2010-11-09,2010,2444,1610612743,301109011,4,9,55,0,Jump Shot,2PT Field Goal,16,Indiana Pacers,165,1,,,,,
JR Smith,Denver Nuggets,2010-11-09,2010,2444,1610612743,301109011,4,8,4,1,Jump Shot,3PT Field Goal,26,Indiana Pacers,-73,252,,,,,
JR Smith,Denver Nuggets,2010-11-11,2010,2444,1610612743,301111007,3,2,17,0,Jump Shot,3PT Field Goal,23,Los Angeles Lakers,-231,52,,,,,
JR Smith,Denver Nuggets,2010-11-11,2010,2444,1610612743,301111007,4,10,23,1,Jump Shot,3PT Field Goal,25,Los Angeles Lakers,-198,153,,,,,
JR Smith,Denver Nuggets,2010-11-11,2010,2444,1610612743,301111007,4,6,28,0,Jump Shot,3PT Field Goal,26,Los Angeles Lakers,190,189,,,,,
JR Smith,Denver Nuggets,2010-11-11,2010,2444,1610612743,301111007,4,4,12,1,Jump Shot,3PT Field Goal,24,Los Angeles Lakers,-166,181,,,,,
JR Smith,Denver Nuggets,2010-11-20,2010,2444,1610612743,301120007,2,8,34,1,Jump Shot,2PT Field Goal,21,Brooklyn Nets,-131,175,,,,,
JR Smith,Denver Nuggets,2010-11-20,2010,2444,1610612743,301120007,3,1,9,0,Jump Shot,2PT Field Goal,18,Brooklyn Nets,100,153,,,,,
JR Smith,Denver Nuggets,2010-11-20,2010,2444,1610612743,301120007,3,0,37,1,Jump Shot,3PT Field Goal,25,Brooklyn Nets,-180,184,,,,,
JR Smith,Denver Nuggets,2010-11-20,2010,2444,1610612743,301120007,4,10,6,1,Jump Shot,2PT Field Goal,20,Brooklyn Nets,206,33,,,,,
JR Smith,Denver Nuggets,2010-11-20,2010,2444,1610612743,301120007,4,9,8,0,Jump Shot,3PT Field Goal,24,Brooklyn Nets,-202,143,,,,,
JR Smith,Denver Nuggets,2010-11-22,2010,2444,1610612743,301122009,2,8,5,0,Jump Shot,3PT Field Goal,28,Golden State Warriors,204,192,,,,,
