name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Kobe Bryant","Los Angeles Lakers",2016-01-23,2015,110,1610612747,400828549,3,5,52,1,"Driving Floating Bank Jump Shot","2PT Field Goal",15,"Portland Trail Blazers",-120,105,2,2.60,"Aminu, Al-Farouq",1.60,6.80
"Kobe Bryant","Los Angeles Lakers",2012-03-29,2011,110,1610612747,320329013,4,7,18,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Oklahoma City Thunder",-54,160,,,,,
"Kobe Bryant","Los Angeles Lakers",2011-04-10,2010,110,1610612747,310410013,2,3,40,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Oklahoma City Thunder",111,145,,,,,
"Kobe Bryant","Los Angeles Lakers",2012-04-22,2011,110,1610612747,320422013,6,1,19,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Oklahoma City Thunder",-194,-21,,,,,
"Kobe Bryant","Los Angeles Lakers",2011-04-08,2010,110,1610612747,310408022,4,8,33,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Portland Trail Blazers",-112,156,,,,,
"Kobe Bryant","Los Angeles Lakers",2011-04-08,2010,110,1610612747,310408022,2,7,33,0,"Fadeaway Jump Shot","2PT Field Goal",17,"Portland Trail Blazers",166,56,,,,,
"Kobe Bryant","Los Angeles Lakers",2012-03-27,2011,110,1610612747,320327009,4,0,32,1,"Fadeaway Jump Shot","2PT Field Goal",18,"Golden State Warriors",-188,17,,,,,
"Kobe Bryant","Los Angeles Lakers",2012-04-06,2011,110,1610612747,320406013,1,1,19,0,"Fadeaway Jump Shot","2PT Field Goal",18,"Houston Rockets",-120,146,,,,,
"Kobe Bryant","Los Angeles Lakers",2013-04-07,2012,110,1610612747,400278866,2,9,32,1,"Fadeaway Jump Shot","2PT Field Goal",20,"Los Angeles Clippers",-97,179,,,,,
"Kobe Bryant","Los Angeles Lakers",2016-04-03,2015,110,1610612747,400829040,2,5,23,0,"Fadeaway Jump Shot","2PT Field Goal",16,"Boston Celtics",-166,-10,0,0.00,,0.00,0.00
"Kobe Bryant","Los Angeles Lakers",2013-03-27,2012,110,1610612747,400278786,1,8,11,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Minnesota Timberwolves",-147,36,,,,,
"Kobe Bryant","Los Angeles Lakers",2013-03-25,2012,110,1610612747,400278773,1,6,08,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Golden State Warriors",129,112,,,,,
"Kobe Bryant","Los Angeles Lakers",2013-03-25,2012,110,1610612747,400278773,1,6,37,0,"Fadeaway Jump Shot","2PT Field Goal",15,"Golden State Warriors",-125,86,,,,,
"Kobe Bryant","Los Angeles Lakers",2014-11-16,2014,110,1610612747,400578437,1,2,28,1,"Fadeaway Jump Shot","2PT Field Goal",17,"Golden State Warriors",103,142,6,9.80,"Iguodala, Andre",4.10,9.10
"Kobe Bryant","Los Angeles Lakers",2012-01-22,2011,110,1610612747,320122013,4,7,15,0,"Fadeaway Jump Shot","2PT Field Goal",19,"Indiana Pacers",195,22,,,,,
"Kobe Bryant","Los Angeles Lakers",2013-01-04,2012,110,1610612747,400278208,4,11,43,1,"Fadeaway Jump Shot","2PT Field Goal",19,"Los Angeles Clippers",70,178,,,,,
"Kobe Bryant","Los Angeles Lakers",2012-01-22,2011,110,1610612747,320122013,3,11,15,1,"Fadeaway Jump Shot","2PT Field Goal",16,"Indiana Pacers",160,23,,,,,
