name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Vince Carter","Dallas Mavericks",2014-01-01,2013,136,1610612742,400489341,1,0,34,1,"Fadeaway Jump Shot","3PT Field Goal",27,"Washington Wizards",15,271,2,2.80,"Temple, Garrett",5.40,11.60
"Vince Carter","Dallas Mavericks",2014-04-16,2013,136,1610612742,400490089,2,4,22,0,"Fadeaway Jump Shot","3PT Field Goal",24,"Memphis Grizzlies",-141,201,0,0.60,"Prince, Tayshaun",3.70,1.00
"Vince Carter","Memphis Grizzlies",2016-04-13,2015,136,1610612763,400829114,1,8,11,1,"Fadeaway Jump Shot","3PT Field Goal",25,"Golden State Warriors",-16,254,0,0.00,,0.00,0.00
"Vince Carter","Memphis Grizzlies",2016-11-12,2016,136,1610612763,400899587,3,6,15,1,"Fadeaway Jump Shot","3PT Field Goal",24,"Milwaukee Bucks",-241,11,0,0.00,,0.00,0.00
"Vince Carter","Memphis Grizzlies",2016-11-18,2016,136,1610612763,400899630,1,3,25,0,"Fadeaway Jump Shot","3PT Field Goal",25,"Dallas Mavericks",2,252,0,0.00,,0.00,0.00
"Vince Carter","Dallas Mavericks",2012-11-07,2012,136,1610612742,400277781,1,2,37,0,"Floating Jump shot","3PT Field Goal",24,"Toronto Raptors",152,192,,,,,
"Vince Carter","Dallas Mavericks",2013-03-24,2012,136,1610612742,400278765,3,1,36,0,"Floating Jump shot","3PT Field Goal",22,"Utah Jazz",-224,12,,,,,
"Vince Carter","Dallas Mavericks",2014-02-28,2013,136,1610612742,400489743,4,9,39,0,"Floating Jump shot","3PT Field Goal",24,"Chicago Bulls",-78,231,2,3.80,"Noah, Joakim",5.50,12.30
"Vince Carter","Dallas Mavericks",2013-12-14,2013,136,1610612742,400489221,1,3,37,1,"Floating Jump shot","3PT Field Goal",24,"Milwaukee Bucks",-221,116,0,0.80,"Antetokounmpo, Giannis",4.70,9.50
"Vince Carter","Memphis Grizzlies",2015-11-27,2015,136,1610612763,400828120,1,0,01,1,"Jump Bank Shot","3PT Field Goal",64,"Atlanta Hawks",-1,645,0,0.70,"Patterson, Lamar",7.00,0.00
"Vince Carter","Dallas Mavericks",2012-12-12,2012,136,1610612742,400278035,2,7,11,1,"Jump Bank Shot","3PT Field Goal",25,"Boston Celtics",118,227,,,,,
"Vince Carter","Memphis Grizzlies",2016-02-26,2015,136,1610612763,400828755,2,7,43,1,"Jump Shot","3PT Field Goal",27,"Los Angeles Lakers",-142,237,0,0.00,,0.00,0.00
"Vince Carter","Memphis Grizzlies",2016-02-26,2015,136,1610612763,400828755,2,6,31,1,"Jump Shot","3PT Field Goal",25,"Los Angeles Lakers",112,229,0,0.00,,0.00,0.00
"Vince Carter","Memphis Grizzlies",2015-12-19,2015,136,1610612763,400828289,3,8,10,1,"Jump Shot","3PT Field Goal",23,"Indiana Pacers",238,16,0,0.80,"Miles, CJ",6.80,12.60
"Vince Carter","Memphis Grizzlies",2015-12-19,2015,136,1610612763,400828289,3,2,04,0,"Jump Shot","3PT Field Goal",24,"Indiana Pacers",-101,228,0,1.30,"Ellis, Monta",3.30,12.90
"Vince Carter","Memphis Grizzlies",2016-02-10,2015,136,1610612763,400828680,4,1,16,0,"Jump Shot","3PT Field Goal",27,"Brooklyn Nets",-204,178,0,0.00,,0.00,0.00
"Vince Carter","Memphis Grizzlies",2016-12-27,2016,136,1610612763,400899914,1,3,41,0,"Jump Shot","3PT Field Goal",25,"Boston Celtics",-48,252,0,0.00,,0.00,0.00
"Vince Carter","Memphis Grizzlies",2016-12-27,2016,136,1610612763,400899914,2,2,24,0,"Jump Shot","3PT Field Goal",25,"Boston Celtics",138,218,0,0.00,,0.00,0.00
"Vince Carter","Memphis Grizzlies",2016-12-27,2016,136,1610612763,400899914,2,0,00,0,"Jump Shot","3PT Field Goal",25,"Boston Celtics",-48,247,0,0.00,,0.00,0.00
"Vince Carter","Memphis Grizzlies",2016-12-27,2016,136,1610612763,400899914,4,9,00,0,"Jump Shot","3PT Field Goal",25,"Boston Celtics",-56,247,0,0.00,,0.00,0.00
"Vince Carter","Memphis Grizzlies",2016-12-21,2016,136,1610612763,400899873,2,4,27,0,"Jump Shot","3PT Field Goal",25,"Detroit Pistons",1,257,0,0.00,,0.00,0.00
"Vince Carter","Memphis Grizzlies",2016-01-10,2015,136,1610612763,400828447,2,0,00,0,"Jump Shot","3PT Field Goal",40,"Boston Celtics",-176,365,0,0.40,"Crowder, Jae",16.40,0.00
