name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"LeBron James","Cleveland Cavaliers",2014-12-25,2014,1966,1610612739,400578721,2,0,17,1,"Fadeaway Jump Shot","3PT Field Goal",24,"Miami Heat",-188,159,0,0.00,,0.00,0.00
"LeBron James","Miami Heat",2014-02-18,2013,1966,1610612748,400489671,3,2,40,0,"Fadeaway Jump Shot","3PT Field Goal",25,"Dallas Mavericks",-221,119,3,5.30,"Wright, Brandan",4.70,3.00
"LeBron James","Cleveland Cavaliers",2015-03-10,2014,1966,1610612739,400579240,4,10,24,0,"Fadeaway Jump Shot","3PT Field Goal",23,"Dallas Mavericks",-235,26,10,8.20,"Nowitzki, Dirk",4.70,4.70
"LeBron James","Cleveland Cavaliers",2015-12-17,2015,1966,1610612739,400828271,1,7,10,0,"Fadeaway Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",222,120,10,9.30,"Durant, Kevin",5.40,15.00
"LeBron James","Cleveland Cavaliers",2015-11-06,2015,1966,1610612739,400827965,3,5,38,0,"Floating Jump shot","3PT Field Goal",23,"Philadelphia 76ers",-34,237,8,8.40,"Thompson, Hollis",3.60,11.50
"LeBron James","Cleveland Cavaliers",2015-02-08,2014,1966,1610612739,400579058,2,0,00,0,"Jump Bank Shot","3PT Field Goal",46,"Los Angeles Lakers",-234,402,3,2.10,"Ellington, Wayne",3.10,0.00
"LeBron James","Cleveland Cavaliers",2016-10-29,2016,1966,1610612739,400899479,2,2,54,1,"Jump Bank Shot","3PT Field Goal",25,"Orlando Magic",146,208,0,0.00,,0.00,0.00
"LeBron James","Miami Heat",2014-03-18,2013,1966,1610612748,400489876,1,11,00,1,"Jump Bank Shot","3PT Field Goal",25,"Cleveland Cavaliers",-224,112,0,0.80,"Gee, Alonzo",5.90,13.50
"LeBron James","Cleveland Cavaliers",2016-02-08,2015,1966,1610612739,400828662,3,1,47,0,"Jump Shot","3PT Field Goal",24,"Sacramento Kings",-104,223,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-01-14,2015,1966,1610612739,400828477,4,7,52,0,"Jump Shot","3PT Field Goal",25,"San Antonio Spurs",-202,160,7,8.60,"Duncan, Tim",4.40,5.80
"LeBron James","Cleveland Cavaliers",2016-03-13,2015,1966,1610612739,400828870,3,0,30,1,"Jump Shot","3PT Field Goal",25,"Los Angeles Clippers",-104,237,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-03-13,2015,1966,1610612739,400828870,1,1,34,1,"Jump Shot","3PT Field Goal",26,"Los Angeles Clippers",-163,214,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-03-13,2015,1966,1610612739,400828870,3,0,03,0,"Jump Shot","3PT Field Goal",39,"Los Angeles Clippers",-11,396,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-01-25,2015,1966,1610612739,400828554,3,5,31,1,"Jump Shot","3PT Field Goal",24,"Minnesota Timberwolves",-60,242,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-01-30,2015,1966,1610612739,400828600,1,7,18,0,"Jump Shot","3PT Field Goal",27,"San Antonio Spurs",79,262,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-01-30,2015,1966,1610612739,400828600,3,4,16,0,"Jump Shot","3PT Field Goal",24,"San Antonio Spurs",192,154,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-11-18,2016,1966,1610612739,400899625,2,5,55,0,"Jump Shot","3PT Field Goal",29,"Detroit Pistons",-204,214,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-04-09,2015,1966,1610612739,400829078,3,10,57,1,"Jump Shot","3PT Field Goal",24,"Chicago Bulls",-120,213,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-04-09,2015,1966,1610612739,400829078,3,1,07,1,"Jump Shot","3PT Field Goal",24,"Chicago Bulls",-176,169,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-01-10,2015,1966,1610612739,400828446,4,6,05,1,"Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",-4,252,0,1.20,"Grant, Jerami",6.90,11.10
"LeBron James","Cleveland Cavaliers",2016-11-27,2016,1966,1610612739,400899695,2,5,01,1,"Jump Shot","3PT Field Goal",26,"Philadelphia 76ers",227,141,0,0.00,,0.00,0.00
"LeBron James","Miami Heat",2012-12-12,2012,1966,1610612748,400278034,4,1,31,0,"Jump Shot","3PT Field Goal",24,"Golden State Warriors",166,181,,,,,
"LeBron James","Cleveland Cavaliers",2016-12-21,2016,1966,1610612739,400899871,2,6,22,1,"Jump Shot","3PT Field Goal",22,"Milwaukee Bucks",228,-1,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2015-12-25,2015,1966,1610612739,400828325,4,0,12,0,"Jump Shot","3PT Field Goal",28,"Golden State Warriors",-196,203,0,1.00,"Green, Draymond",3.50,0.00
"LeBron James","Cleveland Cavaliers",2016-12-21,2016,1966,1610612739,400899871,2,5,11,1,"Jump Shot","3PT Field Goal",26,"Milwaukee Bucks",-223,134,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-02-18,2015,1966,1610612739,0,1,8,26,0,"Jump Shot","3PT Field Goal",24,"Chicago Bulls",68,232,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2016-02-18,2015,1966,1610612739,0,4,4,49,0,"Jump Shot","3PT Field Goal",25,"Chicago Bulls",-238,85,0,0.00,,0.00,0.00
"LeBron James","Cleveland Cavaliers",2015-12-25,2015,1966,1610612739,400828325,3,8,27,1,"Jump Shot","3PT Field Goal",25,"Golden State Warriors",-12,259,0,2.40,"Green, Draymond",4.30,2.70
"LeBron James","Cleveland Cavaliers",2015-12-25,2015,1966,1610612739,400828325,1,2,41,0,"Jump Shot","3PT Field Goal",24,"Golden State Warriors",-119,213,12,12.80,"Green, Draymond",6.50,11.10
"LeBron James","Miami Heat",2012-04-04,2011,1966,1610612748,320404014,1,3,37,1,"Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",-142,209,,,,,
"LeBron James","Miami Heat",2012-04-04,2011,1966,1610612748,320404014,1,1,27,1,"Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",177,168,,,,,
"LeBron James","Miami Heat",2012-04-04,2011,1966,1610612748,320404014,1,0,00,0,"Jump Shot","3PT Field Goal",32,"Oklahoma City Thunder",206,246,,,,,
"LeBron James","Miami Heat",2012-04-04,2011,1966,1610612748,320404014,2,3,36,1,"Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",212,116,,,,,
"LeBron James","Miami Heat",2012-04-04,2011,1966,1610612748,320404014,2,3,11,0,"Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",-243,15,,,,,
"LeBron James","Miami Heat",2012-04-04,2011,1966,1610612748,320404014,2,2,45,0,"Jump Shot","3PT Field Goal",24,"Oklahoma City Thunder",182,162,,,,,
"LeBron James","Miami Heat",2012-04-04,2011,1966,1610612748,320404014,3,10,23,0,"Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",-169,190,,,,,
"LeBron James","Miami Heat",2012-04-06,2011,1966,1610612748,320406014,1,10,27,0,"Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",170,187,,,,,
"LeBron James","Miami Heat",2012-04-06,2011,1966,1610612748,320406014,2,4,16,1,"Jump Shot","3PT Field Goal",24,"Memphis Grizzlies",-175,167,,,,,
"LeBron James","Miami Heat",2012-04-06,2011,1966,1610612748,320406014,2,2,30,0,"Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",-190,173,,,,,
"LeBron James","Miami Heat",2012-04-06,2011,1966,1610612748,320406014,2,0,03,0,"Jump Shot","3PT Field Goal",25,"Memphis Grizzlies",-119,227,,,,,
